support,itemsets
0.4979757085020243,frozenset({'C-反应蛋白(mg/L)'})
0.4939271255060729,frozenset({'淋巴细胞计数(10^9/L)'})
0.4898785425101215,frozenset({'肌酐(μmol/L)'})
0.42105263157894735,frozenset({'钠(mmol/L)'})
0.4979757085020243,frozenset({'中性粒细胞计数(10^9/L)'})
0.4979757085020243,frozenset({'D-二聚体(mg/L)'})
0.4979757085020243,frozenset({'钾(mmol/L)'})
0.4939271255060729,frozenset({'白细胞计数(x10^9/L)'})
0.4979757085020243,frozenset({'铁蛋白(ng/mL)'})
0.4939271255060729,frozenset({'乳酸脱氢酶(U/L)'})
0.27125506072874495,"frozenset({'D-二聚体(mg/L)', 'C-反应蛋白(mg/L)'})"
0.2874493927125506,"frozenset({'C-反应蛋白(mg/L)', '铁蛋白(ng/mL)'})"
0.23481781376518218,"frozenset({'淋巴细胞计数(10^9/L)', 'C-反应蛋白(mg/L)'})"
0.23076923076923078,"frozenset({'淋巴细胞计数(10^9/L)', '铁蛋白(ng/mL)'})"
0.21862348178137653,"frozenset({'淋巴细胞计数(10^9/L)', 'D-二聚体(mg/L)'})"
0.20242914979757085,"frozenset({'淋巴细胞计数(10^9/L)', '乳酸脱氢酶(U/L)'})"
0.24696356275303644,"frozenset({'淋巴细胞计数(10^9/L)', '钾(mmol/L)'})"
0.1862348178137652,"frozenset({'白细胞计数(x10^9/L)', '淋巴细胞计数(10^9/L)'})"
0.27125506072874495,"frozenset({'C-反应蛋白(mg/L)', '肌酐(μmol/L)'})"
0.23076923076923078,"frozenset({'淋巴细胞计数(10^9/L)', '肌酐(μmol/L)'})"
0.29554655870445345,"frozenset({'肌酐(μmol/L)', '钾(mmol/L)'})"
0.2793522267206478,"frozenset({'D-二聚体(mg/L)', '肌酐(μmol/L)'})"
0.26720647773279355,"frozenset({'白细胞计数(x10^9/L)', '肌酐(μmol/L)'})"
0.25101214574898784,"frozenset({'中性粒细胞计数(10^9/L)', '肌酐(μmol/L)'})"
0.2874493927125506,"frozenset({'肌酐(μmol/L)', '铁蛋白(ng/mL)'})"
0.2793522267206478,"frozenset({'乳酸脱氢酶(U/L)', '肌酐(μmol/L)'})"
0.20647773279352227,"frozenset({'钠(mmol/L)', 'C-反应蛋白(mg/L)'})"
0.19838056680161945,"frozenset({'钠(mmol/L)', '肌酐(μmol/L)'})"
0.18218623481781376,"frozenset({'淋巴细胞计数(10^9/L)', '钠(mmol/L)'})"
0.23076923076923078,"frozenset({'中性粒细胞计数(10^9/L)', '钠(mmol/L)'})"
0.21052631578947367,"frozenset({'钠(mmol/L)', '乳酸脱氢酶(U/L)'})"
0.21052631578947367,"frozenset({'D-二聚体(mg/L)', '钠(mmol/L)'})"
0.19433198380566802,"frozenset({'钠(mmol/L)', '铁蛋白(ng/mL)'})"
0.21052631578947367,"frozenset({'白细胞计数(x10^9/L)', '钠(mmol/L)'})"
0.19433198380566802,"frozenset({'钠(mmol/L)', '钾(mmol/L)'})"
0.27125506072874495,"frozenset({'中性粒细胞计数(10^9/L)', 'D-二聚体(mg/L)'})"
0.2550607287449393,"frozenset({'中性粒细胞计数(10^9/L)', '钾(mmol/L)'})"
0.24696356275303644,"frozenset({'中性粒细胞计数(10^9/L)', 'C-反应蛋白(mg/L)'})"
0.2591093117408907,"frozenset({'中性粒细胞计数(10^9/L)', '铁蛋白(ng/mL)'})"
0.291497975708502,"frozenset({'D-二聚体(mg/L)', '铁蛋白(ng/mL)'})"
0.2793522267206478,"frozenset({'D-二聚体(mg/L)', '钾(mmol/L)'})"
0.2550607287449393,"frozenset({'C-反应蛋白(mg/L)', '钾(mmol/L)'})"
0.2550607287449393,"frozenset({'铁蛋白(ng/mL)', '钾(mmol/L)'})"
0.3319838056680162,"frozenset({'中性粒细胞计数(10^9/L)', '白细胞计数(x10^9/L)'})"
0.2834008097165992,"frozenset({'白细胞计数(x10^9/L)', 'D-二聚体(mg/L)'})"
0.26720647773279355,"frozenset({'白细胞计数(x10^9/L)', 'C-反应蛋白(mg/L)'})"
0.2550607287449393,"frozenset({'白细胞计数(x10^9/L)', '钾(mmol/L)'})"
0.29554655870445345,"frozenset({'白细胞计数(x10^9/L)', '乳酸脱氢酶(U/L)'})"
0.2631578947368421,"frozenset({'白细胞计数(x10^9/L)', '铁蛋白(ng/mL)'})"
0.3522267206477733,"frozenset({'乳酸脱氢酶(U/L)', '铁蛋白(ng/mL)'})"
0.3076923076923077,"frozenset({'D-二聚体(mg/L)', '乳酸脱氢酶(U/L)'})"
0.291497975708502,"frozenset({'中性粒细胞计数(10^9/L)', '乳酸脱氢酶(U/L)'})"
0.29959514170040485,"frozenset({'乳酸脱氢酶(U/L)', 'C-反应蛋白(mg/L)'})"
0.2631578947368421,"frozenset({'乳酸脱氢酶(U/L)', '钾(mmol/L)'})"
