support,itemsets
0.9959514170040485,frozenset({'风湿性疾病'})
0.9959514170040485,frozenset({'脾切除'})
0.9919028340080972,frozenset({'慢性血液疾病'})
0.9919028340080972,frozenset({'轻度肝病'})
0.9635627530364372,frozenset({'中度或重度肝病'})
0.9392712550607287,frozenset({'哮喘'})
0.9352226720647774,frozenset({'肥胖'})
0.9271255060728745,frozenset({'慢性肾病'})
0.9271255060728745,frozenset({'慢性神经系统疾病'})
0.8825910931174089,frozenset({'慢性肺部疾病'})
0.8744939271255061,frozenset({'慢性心脏病'})
0.5344129554655871,frozenset({'糖尿病'})
0.47368421052631576,frozenset({'高血压'})
0.9919028340080972,"frozenset({'风湿性疾病', '脾切除'})"
0.9878542510121457,"frozenset({'脾切除', '慢性血液疾病'})"
0.9878542510121457,"frozenset({'风湿性疾病', '慢性血液疾病'})"
0.9878542510121457,"frozenset({'轻度肝病', '脾切除'})"
0.9878542510121457,"frozenset({'轻度肝病', '风湿性疾病'})"
0.9838056680161943,"frozenset({'轻度肝病', '慢性血液疾病'})"
0.9595141700404858,"frozenset({'中度或重度肝病', '脾切除'})"
0.9595141700404858,"frozenset({'风湿性疾病', '中度或重度肝病'})"
0.9554655870445344,"frozenset({'轻度肝病', '中度或重度肝病'})"
0.9554655870445344,"frozenset({'中度或重度肝病', '慢性血液疾病'})"
0.9392712550607287,"frozenset({'哮喘', '风湿性疾病'})"
0.9352226720647774,"frozenset({'哮喘', '轻度肝病'})"
0.9352226720647774,"frozenset({'哮喘', '脾切除'})"
0.9311740890688259,"frozenset({'哮喘', '慢性血液疾病'})"
0.9068825910931174,"frozenset({'哮喘', '中度或重度肝病'})"
0.9311740890688259,"frozenset({'肥胖', '脾切除'})"
0.9311740890688259,"frozenset({'风湿性疾病', '肥胖'})"
0.9271255060728745,"frozenset({'轻度肝病', '肥胖'})"
0.9271255060728745,"frozenset({'肥胖', '慢性血液疾病'})"
0.9109311740890689,"frozenset({'肥胖', '中度或重度肝病'})"
0.8825910931174089,"frozenset({'哮喘', '肥胖'})"
0.9271255060728745,"frozenset({'风湿性疾病', '慢性肾病'})"
0.9230769230769231,"frozenset({'慢性肾病', '慢性血液疾病'})"
0.9230769230769231,"frozenset({'脾切除', '慢性肾病'})"
0.9190283400809717,"frozenset({'轻度肝病', '慢性肾病'})"
0.8947368421052632,"frozenset({'中度或重度肝病', '慢性肾病'})"
0.8704453441295547,"frozenset({'哮喘', '慢性肾病'})"
0.8663967611336032,"frozenset({'肥胖', '慢性肾病'})"
0.9230769230769231,"frozenset({'慢性神经系统疾病', '脾切除'})"
0.9230769230769231,"frozenset({'慢性神经系统疾病', '风湿性疾病'})"
0.9190283400809717,"frozenset({'慢性神经系统疾病', '轻度肝病'})"
0.9190283400809717,"frozenset({'慢性神经系统疾病', '慢性血液疾病'})"
0.8947368421052632,"frozenset({'慢性神经系统疾病', '中度或重度肝病'})"
0.8744939271255061,"frozenset({'慢性神经系统疾病', '哮喘'})"
0.8704453441295547,"frozenset({'慢性神经系统疾病', '肥胖'})"
0.8582995951417004,"frozenset({'慢性神经系统疾病', '慢性肾病'})"
0.8825910931174089,"frozenset({'轻度肝病', '慢性肺部疾病'})"
0.8785425101214575,"frozenset({'慢性肺部疾病', '慢性血液疾病'})"
0.8785425101214575,"frozenset({'慢性肺部疾病', '脾切除'})"
0.8785425101214575,"frozenset({'风湿性疾病', '慢性肺部疾病'})"
0.8663967611336032,"frozenset({'慢性肺部疾病', '中度或重度肝病'})"
0.8340080971659919,"frozenset({'肥胖', '慢性肺部疾病'})"
0.8340080971659919,"frozenset({'哮喘', '慢性肺部疾病'})"
0.8259109311740891,"frozenset({'慢性肺部疾病', '慢性肾病'})"
0.8178137651821862,"frozenset({'慢性神经系统疾病', '慢性肺部疾病'})"
0.8704453441295547,"frozenset({'脾切除', '慢性心脏病'})"
0.8704453441295547,"frozenset({'风湿性疾病', '慢性心脏病'})"
0.8663967611336032,"frozenset({'轻度肝病', '慢性心脏病'})"
0.8663967611336032,"frozenset({'慢性心脏病', '慢性血液疾病'})"
0.8461538461538461,"frozenset({'中度或重度肝病', '慢性心脏病'})"
0.8299595141700404,"frozenset({'慢性心脏病', '慢性肾病'})"
0.8218623481781376,"frozenset({'肥胖', '慢性心脏病'})"
0.8137651821862348,"frozenset({'哮喘', '慢性心脏病'})"
0.8097165991902834,"frozenset({'慢性神经系统疾病', '慢性心脏病'})"
0.7692307692307693,"frozenset({'慢性肺部疾病', '慢性心脏病'})"
0.5344129554655871,"frozenset({'糖尿病', '慢性血液疾病'})"
0.5344129554655871,"frozenset({'风湿性疾病', '糖尿病'})"
0.5303643724696356,"frozenset({'脾切除', '糖尿病'})"
0.5263157894736842,"frozenset({'轻度肝病', '糖尿病'})"
0.5222672064777328,"frozenset({'中度或重度肝病', '糖尿病'})"
0.5141700404858299,"frozenset({'慢性肾病', '糖尿病'})"
0.5060728744939271,"frozenset({'慢性心脏病', '糖尿病'})"
0.4979757085020243,"frozenset({'慢性神经系统疾病', '糖尿病'})"
0.4979757085020243,"frozenset({'哮喘', '糖尿病'})"
0.4939271255060729,"frozenset({'肥胖', '糖尿病'})"
0.4817813765182186,"frozenset({'慢性肺部疾病', '糖尿病'})"
0.47368421052631576,"frozenset({'风湿性疾病', '高血压'})"
0.46963562753036436,"frozenset({'慢性血液疾病', '高血压'})"
0.46963562753036436,"frozenset({'脾切除', '高血压'})"
0.46558704453441296,"frozenset({'轻度肝病', '高血压'})"
0.4574898785425101,"frozenset({'慢性神经系统疾病', '高血压'})"
0.4493927125506073,"frozenset({'慢性肾病', '高血压'})"
0.4493927125506073,"frozenset({'哮喘', '高血压'})"
0.4493927125506073,"frozenset({'中度或重度肝病', '高血压'})"
0.4331983805668016,"frozenset({'肥胖', '高血压'})"
0.4251012145748988,"frozenset({'慢性心脏病', '高血压'})"
0.41295546558704455,"frozenset({'慢性肺部疾病', '高血压'})"
0.30364372469635625,"frozenset({'糖尿病', '高血压'})"
