support,itemsets
0.4089068825910931,frozenset({'收缩压'})
0.4898785425101215,frozenset({'心率'})
0.291497975708502,frozenset({'舒张压'})
0.3765182186234818,frozenset({'呼吸频率'})
0.3562753036437247,frozenset({'氧饱和度(spO2)'})
0.2631578947368421,"frozenset({'心率', '收缩压'})"
0.21862348178137653,"frozenset({'舒张压', '收缩压'})"
0.20647773279352227,"frozenset({'舒张压', '心率'})"
0.19838056680161945,"frozenset({'呼吸频率', '心率'})"
0.15789473684210525,"frozenset({'呼吸频率', '收缩压'})"
0.12955465587044535,"frozenset({'氧饱和度(spO2)', '收缩压'})"
0.1659919028340081,"frozenset({'氧饱和度(spO2)', '心率'})"
