support,itemsets
0.9919028340080972,frozenset({'出血'})
0.9919028340080972,frozenset({'结膜炎'})
0.979757085020243,frozenset({'关节痛'})
0.9595141700404858,frozenset({'胸痛'})
0.9554655870445344,frozenset({'腹痛'})
0.9554655870445344,frozenset({'腹泻'})
0.9473684210526315,frozenset({'味觉丧失'})
0.9352226720647774,frozenset({'呕吐/恶心'})
0.9352226720647774,frozenset({'淋巴结病'})
0.9271255060728745,frozenset({'喉咙痛'})
0.9230769230769231,frozenset({'嗅觉丧失'})
0.9149797570850202,frozenset({'行走困难'})
0.9109311740890689,frozenset({'胸壁下陷'})
0.8866396761133604,frozenset({'头痛'})
0.8704453441295547,frozenset({'流鼻涕'})
0.8582995951417004,frozenset({'意识改变/混乱'})
0.8299595141700404,frozenset({'癫痫发作'})
0.8097165991902834,frozenset({'食欲减退'})
0.7894736842105263,frozenset({'喘息'})
0.708502024291498,frozenset({'疲劳/不适'})
0.44129554655870445,frozenset({'呼吸急促'})
0.43724696356275305,frozenset({'咳嗽'})
0.8663967611336032,frozenset({'肌肉痛'})
0.3117408906882591,frozenset({'发热'})
0.9838056680161943,"frozenset({'出血', '结膜炎'})"
0.9757085020242915,"frozenset({'关节痛', '结膜炎'})"
0.97165991902834,"frozenset({'关节痛', '出血'})"
0.951417004048583,"frozenset({'胸痛', '结膜炎'})"
0.951417004048583,"frozenset({'出血', '胸痛'})"
0.9392712550607287,"frozenset({'关节痛', '胸痛'})"
0.951417004048583,"frozenset({'腹痛', '结膜炎'})"
0.9473684210526315,"frozenset({'出血', '腹痛'})"
0.9392712550607287,"frozenset({'关节痛', '腹痛'})"
0.9149797570850202,"frozenset({'胸痛', '腹痛'})"
0.9473684210526315,"frozenset({'腹泻', '结膜炎'})"
0.9473684210526315,"frozenset({'出血', '腹泻'})"
0.9352226720647774,"frozenset({'关节痛', '腹泻'})"
0.9149797570850202,"frozenset({'腹痛', '腹泻'})"
0.9149797570850202,"frozenset({'胸痛', '腹泻'})"
0.9392712550607287,"frozenset({'味觉丧失', '结膜炎'})"
0.9392712550607287,"frozenset({'出血', '味觉丧失'})"
0.9271255060728745,"frozenset({'关节痛', '味觉丧失'})"
0.9068825910931174,"frozenset({'味觉丧失', '腹泻'})"
0.9068825910931174,"frozenset({'胸痛', '味觉丧失'})"
0.902834008097166,"frozenset({'味觉丧失', '腹痛'})"
0.9311740890688259,"frozenset({'呕吐/恶心', '结膜炎'})"
0.9271255060728745,"frozenset({'出血', '呕吐/恶心'})"
0.9190283400809717,"frozenset({'关节痛', '呕吐/恶心'})"
0.9068825910931174,"frozenset({'腹痛', '呕吐/恶心'})"
0.8987854251012146,"frozenset({'胸痛', '呕吐/恶心'})"
0.8947368421052632,"frozenset({'腹泻', '呕吐/恶心'})"
0.8825910931174089,"frozenset({'味觉丧失', '呕吐/恶心'})"
0.9271255060728745,"frozenset({'淋巴结病', '结膜炎'})"
0.9271255060728745,"frozenset({'出血', '淋巴结病'})"
0.9149797570850202,"frozenset({'关节痛', '淋巴结病'})"
0.9109311740890689,"frozenset({'腹泻', '淋巴结病'})"
0.8987854251012146,"frozenset({'味觉丧失', '淋巴结病'})"
0.8947368421052632,"frozenset({'胸痛', '淋巴结病'})"
0.8906882591093117,"frozenset({'腹痛', '淋巴结病'})"
0.8744939271255061,"frozenset({'呕吐/恶心', '淋巴结病'})"
